year,month,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
1967,1,0.3927,8.1852,6.7630,-3.0018,1.9603,-2.2396
1967,2,0.3743,0.7557,1.7323,-0.2696,3.5877,2.5681
1967,3,0.3693,4.0169,1.9541,-1.6969,1.8805,-1.4695
1967,4,0.3344,3.8786,-0.7423,-2.9555,1.0983,-2.2351
1967,5,0.3126,-4.2807,2.9255,2.4553,0.5435,0.2749
1967,6,0.2674,2.4199,6.2469,-2.1705,0.3052,-0.3645
1967,7,0.3153,4.5788,3.0410,2.3657,-0.6857,-0.2301
1967,8,0.3240,-0.9048,0.2796,1.8169,-0.6780,-0.0025
1967,9,0.3177,3.1074,1.7933,-0.4427,0.7640,-0.6730
1967,10,0.3649,-3.0516,0.7602,-2.4696,3.3736,0.2062
1967,11,0.3416,0.3765,0.1469,-2.7435,0.7717,0.2452
1967,12,0.3565,3.0233,4.5407,0.3024,0.8598,1.4985
1968,1,0.3934,-4.0242,5.3560,4.7176,-2.8027,1.1116
1968,2,0.3849,-3.7294,-1.5945,2.7512,-0.3786,3.3476
1968,3,0.3977,0.1880,-2.2577,-1.1342,1.6761,1.2297
1968,4,0.4263,9.0295,5.3629,-2.6056,3.7654,-1.8814
1968,5,0.4672,2.2564,6.6879,-2.3007,1.9595,-0.3443
1968,6,0.4436,0.6752,-0.4370,2.4451,-0.4776,-0.0541
1968,7,0.4790,-2.6858,-1.1598,2.7632,-2.0893,3.3438
1968,8,0.4476,1.3272,2.1609,0.3690,-0.7607,1.5582
1968,9,0.4203,4.0566,1.4565,-0.5757,-3.4236,-1.1965
1968,10,0.4394,0.4255,-0.6765,2.6934,0.6051,2.5209
1968,11,0.4457,5.4064,2.8070,-1.3500,-0.4243,-0.9144
1968,12,0.4249,-3.9304,3.1584,2.5858,-0.7820,-0.7990
1969,1,0.5025,-1.2281,-0.3062,1.1292,-0.0716,0.4790
1969,2,0.4619,-5.8465,-3.8972,0.8505,1.0557,2.3751
1969,3,0.4802,2.6600,-0.3231,0.4294,1.9242,2.4972
1969,4,0.4859,1.5003,-0.1531,0.5674,2.0260,-0.2394
1969,5,0.5215,-0.1180,0.3904,1.4169,-0.0608,0.0381
1969,6,0.5137,-7.1923,-4.7147,-0.6165,3.3983,2.7048
1969,7,0.5520,-7.0331,-2.9356,2.0189,2.0938,3.4910
1969,8,0.5890,4.6032,1.0624,-2.5157,0.4656,-2.1066
1969,9,0.5856,-2.9387,0.7009,0.0668,2.0461,2.7928
1969,10,0.5724,5.0810,2.7812,-1.5403,-1.0961,-1.2440
1969,11,0.5509,-3.8235,-2.0291,0.1912,2.7448,2.3553
1969,12,0.5846,-2.5829,-3.7717,-0.6982,3.4988,1.6499
1970,1,0.5781,-8.0676,3.5654,3.5430,-1.1444,3.2341
1970,2,0.6167,5.0779,-2.4781,1.7291,-2.1480,0.1115
1970,3,0.5542,-1.0373,-1.2512,3.3862,-0.9004,3.0285
1970,4,0.5286,-11.0383,-4.6151,5.1911,0.3872,5.5545
1970,5,0.5546,-6.9458,-3.2335,3.1902,0.2447,3.5236
1970,6,0.5546,-5.7632,-1.8467,3.7465,2.6608,3.4050
1970,7,0.4886,6.9503,-0.4652,2.5463,-0.8376,-1.3000
1970,8,0.5020,4.5098,0.6459,-0.8656,-3.3301,-2.1076
1970,9,0.5034,4.2154,7.1669,-4.5667,-1.3578,-5.4412
1970,10,0.4954,-2.3108,-3.2219,2.9508,5.4955,3.8558
1970,11,0.4489,4.6033,-3.7063,0.7995,0.6342,2.1592
1970,12,0.3786,5.7758,2.7299,0.2507,-1.0452,-0.2179
1971,1,0.3777,4.8376,6.8598,-0.2597,-4.2142,-3.1558
1971,2,0.3344,1.3930,1.4446,0.6299,2.4201,0.7628
1971,3,0.2924,4.1315,2.6241,-1.9510,1.8917,-0.3244
